2024-10-19 15:03:04,SA-42/TEMPERATURE,26.58
2024-10-19 15:03:04,SA-42/LINE_LEVEL,b'\xe9\x96\x8b\xe7\x87\x88'
2024-10-19 15:03:04,SA-42/LED_LEVEL,7.0
2024-10-19 15:03:43,SA-42/TEMPERATURE,26.58
2024-10-19 15:03:43,SA-42/LINE_LEVEL,'開燈'
2024-10-19 15:03:43,SA-42/LED_LEVEL,7.0
2024-10-19 15:03:49,SA-42/LINE_LEVEL,'關燈'
2024-10-19 15:03:52,SA-42/LINE_LEVEL,'開燈'
2024-10-19 15:03:55,SA-42/TEMPERATURE,26.11
2024-10-19 15:03:58,SA-42/TEMPERATURE,26.58
2024-10-19 15:04:37,SA-42/TEMPERATURE,26.11
2024-10-19 15:04:40,SA-42/TEMPERATURE,26.58
2024-10-19 15:04:43,SA-42/TEMPERATURE,26.11
2024-10-19 15:04:46,SA-42/TEMPERATURE,26.58
2024-10-19 15:04:52,SA-42/TEMPERATURE,26.11
2024-10-19 15:04:55,SA-42/TEMPERATURE,26.58
2024-10-19 15:05:16,SA-42/TEMPERATURE,26.11
2024-10-19 15:05:19,SA-42/TEMPERATURE,26.58
2024-10-19 15:05:22,SA-42/TEMPERATURE,26.11
2024-10-19 15:05:25,SA-42/TEMPERATURE,26.58
2024-10-19 15:05:55,SA-42/TEMPERATURE,26.11
2024-10-19 15:05:58,SA-42/TEMPERATURE,26.58
2024-10-19 15:06:01,SA-42/TEMPERATURE,26.11
2024-10-19 15:06:10,SA-42/TEMPERATURE,26.58
2024-10-19 15:06:25,SA-42/TEMPERATURE,26.11
2024-10-19 15:06:28,SA-42/TEMPERATURE,26.58
2024-10-19 15:06:34,SA-42/TEMPERATURE,26.11
2024-10-19 15:06:40,SA-42/TEMPERATURE,26.58
2024-10-19 15:06:43,SA-42/TEMPERATURE,26.11
2024-10-19 15:06:46,SA-42/TEMPERATURE,26.58
2024-10-19 15:06:52,SA-42/TEMPERATURE,26.11
2024-10-19 15:08:19,SA-42/TEMPERATURE,26.58
2024-10-19 15:08:22,SA-42/TEMPERATURE,26.11
2024-10-19 15:08:43,SA-42/TEMPERATURE,26.58
2024-10-19 15:08:49,SA-42/TEMPERATURE,26.11
2024-10-19 15:10:55,SA-42/TEMPERATURE,26.11
2024-10-19 15:10:55,SA-42/LINE_LEVEL,"b""b'\xe9\x96\x8b\xe7\x87\x88"""
2024-10-19 15:10:55,SA-42/LED_LEVEL,7.0
2024-10-19 15:11:25,SA-42/TEMPERATURE,26.58
2024-10-19 15:11:28,SA-42/TEMPERATURE,26.11
2024-10-19 15:11:34,SA-42/TEMPERATURE,26.11
2024-10-19 15:11:34,SA-42/LINE_LEVEL,b'開燈
2024-10-19 15:11:34,SA-42/LED_LEVEL,7.0
2024-10-19 15:11:43,SA-42/TEMPERATURE,26.58
2024-10-19 15:11:43,SA-42/LINE_LEVEL,b'關燈
2024-10-19 15:11:46,SA-42/LINE_LEVEL,b'開燈
2024-10-19 15:11:49,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:01,SA-42/TEMPERATURE,26.58
2024-10-19 15:12:04,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:04,SA-42/LINE_LEVEL,b'關燈
2024-10-19 15:12:07,SA-42/LINE_LEVEL,b'開燈
2024-10-19 15:12:10,SA-42/TEMPERATURE,26.58
2024-10-19 15:12:13,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:19,SA-42/TEMPERATURE,26.58
2024-10-19 15:12:22,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:25,SA-42/TEMPERATURE,26.58
2024-10-19 15:12:37,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:43,SA-42/TEMPERATURE,26.58
2024-10-19 15:12:55,SA-42/TEMPERATURE,26.11
2024-10-19 15:12:58,SA-42/TEMPERATURE,26.58
2024-10-19 15:13:13,SA-42/TEMPERATURE,26.11
2024-10-19 15:13:16,SA-42/TEMPERATURE,26.58
2024-10-19 15:13:28,SA-42/TEMPERATURE,26.11
2024-10-19 15:13:31,SA-42/TEMPERATURE,26.58
2024-10-19 15:14:19,SA-42/TEMPERATURE,26.11
2024-10-19 15:14:22,SA-42/TEMPERATURE,26.58
2024-10-19 15:15:43,SA-42/LINE_LEVEL,b'關燈
2024-10-19 15:15:46,SA-42/LINE_LEVEL,b'開燈
